City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,9.7,88,100,2.05,US,1697332943
1,carnarvon,-24.8667,113.6333,32.78,27,0,4.2,AU,1697333541
2,barika,35.389,5.3658,20.48,26,0,2.71,DZ,1697333541
3,faya-largeau,17.9257,19.1043,29.36,23,6,9.66,TD,1697332980
4,smithers,54.7804,-127.1743,14.18,58,75,2.06,CA,1697333541
5,iskateley,67.6803,53.1512,-2.21,93,67,1.79,RU,1697332737
6,edinburgh of the seven seas,-37.0676,-12.3116,14.88,95,100,11.09,SH,1697332951
7,lebu,-37.6167,-73.65,9.82,79,15,7.93,CL,1697332952
8,avarua,-21.2078,-159.775,25.03,69,75,5.14,CK,1697332740
9,udachny,66.4167,112.4,-8.64,85,9,1.47,RU,1697332945
10,kingston,17.997,-76.7936,29.53,91,40,2.06,JM,1697332769
11,crane,31.3974,-102.3501,18.17,31,16,4.12,US,1697333542
12,georgetown,5.4112,100.3354,26.96,92,20,2.57,MY,1697332843
13,mallow,52.1333,-8.6333,4.57,88,23,1.22,IE,1697333542
14,babai,22.7,77.9333,23.27,64,34,1.27,IN,1697333542
15,waitangi,-43.9535,-176.5597,12.75,84,0,10.15,NZ,1697333542
16,moyynkum,44.2914,72.9469,6.86,42,61,2.21,KZ,1697333543
17,luau,-10.7073,22.2247,17.94,84,67,0.42,AO,1697333543
18,iqaluit,63.7506,-68.5145,-1.15,86,75,5.66,CA,1697332739
19,bilibino,68.0546,166.4372,-7.25,94,99,0.47,RU,1697333543
20,stanley,54.868,-1.6985,2.01,83,0,3.6,GB,1697332958
21,grytviken,-54.2811,-36.5092,-4.15,79,21,4.61,GS,1697333513
22,adamstown,-25.066,-130.1015,21.66,78,99,2.33,PN,1697333543
23,taltal,-25.4,-70.4833,16.62,76,19,1.56,CL,1697333543
24,usinsk,65.9939,57.5281,-1.07,98,100,2.24,RU,1697332977
25,albany,42.6001,-73.9662,9.8,84,100,1.12,US,1697333327
26,blackmans bay,-43.0167,147.3167,12.07,66,81,0.89,AU,1697333543
27,kodiak,57.79,-152.4072,7.73,66,75,4.12,US,1697332975
28,salinas,36.6777,-121.6555,21.34,80,0,4.12,US,1697333328
29,port-aux-francais,-49.35,70.2167,0.38,60,96,11.04,TF,1697333509
30,labuan,5.2767,115.2417,27.2,83,20,3.13,MY,1697333544
31,constantia,44.1833,28.65,12.61,85,0,4.88,RO,1697332961
32,holualoa,19.6228,-155.9522,27.15,77,20,4.63,US,1697332963
33,enewetak,11.3474,162.3373,28.61,72,79,3.48,MH,1697332743
